All papers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Material name (full form),Particle size,Binder saturation (%),Binder type,Layer thickness (µm),Roller traverse speed,Packing density (%),Final density
,,,,,,,,,,,,,,,,
Paper,Material name (full form),Particle size,Binder saturation (%),Binder type,Layer thickness (µm),Roller traverse speed,Packing density (%),Final density,,,,,,,,
420 SS speed study (AM 2018),420 Stainless Steel,35 µm,100%,Water-based,,2 mm/s,55%,,,,,,,,,
BaTiO₃ (Ceramics Int. 2015),Barium Titanate,0.85–1.45 µm,60%,Water-based,30 µm,,~30%,65.2% (Sintered),,,,,,,,
Graphite/Nylon 12 - Case 1,Graphite/Nylon 12,,70%,Polymer-based,50 µm,1.5 mm/s,,,,,,,,,,
Graphite/Nylon 12 - Case 2,Graphite/Nylon 12,,80%,Polymer-based,50 µm,1.5 mm/s,,,,,,,,,,
Graphite/Nylon 12 - Case 3,Graphite/Nylon 12,,90%,Polymer-based,50 µm,1.5 mm/s,,,,,,,,,,
Fine Alumina - Case 1,Alumina,1.7 µm,55%,Water-based,50 µm,,,>60% (Green),,,,,,,,
Fine Alumina - Case 2,Alumina,9 µm,70%,Water-based,50 µm,,,75.4% (Sintered),,,,,,,,
KNN - Case 1,KNN,,110%,Polymer-based,40 µm,,,>80% (Sintered),,,,,,,,
KNN - Case 2,KNN,,130%,Polymer-based,40 µm,,,>80% (Sintered),,,,,,,,
KNN - Case 3,KNN,,150%,Polymer-based,40 µm,,,>80% (Sintered),,,,,,,,
Silk Powder - SFSP,Silk Powder,5 µm,85%,Water-based PVA,125 µm,,,,,,,,,,,
Silk Powder - FSP,Silk Powder,20 µm,85%,Water-based PVA,125 µm,,,,,,,,,,,
Nanoparticle Densifier - 0%,Alumina/Zirconia Blend,40 µm + 0.3 µm,,Water-based,,,,,,,,,,,,
Nanoparticle Densifier - 5%,Alumina/Zirconia Blend,40 µm + 0.3 µm,,Water-based,,,,,,,,,,,,
